"filename", "language", "Java", "Gradle", "Batch", "YAML", "Shell Script", "Java Properties", "Docker", "Markdown", "comment", "blank", "total"
"/Users/jwl/Documents/651 ECE/Risk_Game/.gitlab-ci.yml", "YAML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"/Users/jwl/Documents/651 ECE/Risk_Game/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 33, 0, 8, 14, 55
"/Users/jwl/Documents/651 ECE/Risk_Game/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 227, 0, 64, 291
"/Users/jwl/Documents/651 ECE/Risk_Game/build.gradle", "Gradle", 0, 82, 0, 0, 0, 0, 0, 0, 15, 10, 107
"/Users/jwl/Documents/651 ECE/Risk_Game/client/build.gradle", "Gradle", 0, 9, 0, 0, 0, 0, 0, 0, 9, 8, 26
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/main/java/edu/duke/ece651/team16/client/App.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 4, 4, 39
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/main/java/edu/duke/ece651/team16/client/Client.java", "Java", 290, 0, 0, 0, 0, 0, 0, 0, 103, 31, 424
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/main/java/edu/duke/ece651/team16/client/Views.java", "Java", 108, 0, 0, 0, 0, 0, 0, 0, 51, 13, 172
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/test/java/edu/duke/ece651/team16/client/AppTest.java", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/test/java/edu/duke/ece651/team16/client/ClientTest.java", "Java", 415, 0, 0, 0, 0, 0, 0, 0, 11, 95, 521
"/Users/jwl/Documents/651 ECE/Risk_Game/client/src/test/java/edu/duke/ece651/team16/client/ViewsTest.java", "Java", 83, 0, 0, 0, 0, 0, 0, 0, 0, 18, 101
"/Users/jwl/Documents/651 ECE/Risk_Game/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/Users/jwl/Documents/651 ECE/Risk_Game/gradlew.bat", "Batch", 0, 0, 68, 0, 0, 0, 0, 0, 0, 22, 90
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/coverage_summary.sh", "Shell Script", 0, 0, 0, 0, 3, 0, 0, 0, 1, 5, 9
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/emacs-bare.sh", "Shell Script", 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/redeploy.sh", "Shell Script", 0, 0, 0, 0, 3, 0, 0, 0, 3, 4, 10
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/run-tests-in-docker.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 5
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/test-deployment.sh", "Shell Script", 0, 0, 0, 0, 28, 0, 0, 0, 4, 8, 40
"/Users/jwl/Documents/651 ECE/Risk_Game/scripts/test.sh", "Shell Script", 0, 0, 0, 0, 5, 0, 0, 0, 3, 2, 10
"/Users/jwl/Documents/651 ECE/Risk_Game/server/build.gradle", "Gradle", 0, 9, 0, 0, 0, 0, 0, 0, 14, 5, 28
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/App.java", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 6, 9, 47
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/AssignUnitRuleChecker.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/AttackAdjacentRuleChecker.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/AttackInputRuleChecker.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/AttackOrder.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 20, 6, 63
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/BasicUnit.java", "Java", 39, 0, 0, 0, 0, 0, 0, 0, 21, 10, 70
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Battle.java", "Java", 80, 0, 0, 0, 0, 0, 0, 0, 42, 15, 137
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Combat.java", "Java", 44, 0, 0, 0, 0, 0, 0, 0, 28, 8, 80
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Conn.java", "Java", 50, 0, 0, 0, 0, 0, 0, 0, 20, 8, 78
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Game.java", "Java", 390, 0, 0, 0, 0, 0, 0, 0, 165, 44, 599
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/GameMap.java", "Java", 155, 0, 0, 0, 0, 0, 0, 0, 70, 19, 244
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/MessageGenerator.java", "Java", 84, 0, 0, 0, 0, 0, 0, 0, 46, 13, 143
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/MoveInputRuleChecker.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/MoveOrder.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 18, 6, 61
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/MovePathRuleChecker.java", "Java", 80, 0, 0, 0, 0, 0, 0, 0, 27, 12, 119
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Order.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/OrderRuleChecker.java", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 26, 6, 50
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Player.java", "Java", 129, 0, 0, 0, 0, 0, 0, 0, 86, 30, 245
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/ResearchOrder.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 10, 4, 26
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Server.java", "Java", 56, 0, 0, 0, 0, 0, 0, 0, 18, 10, 84
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Territory.java", "Java", 166, 0, 0, 0, 0, 0, 0, 0, 104, 33, 303
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/Unit.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 32, 8, 51
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/main/java/edu/duke/ece651/team16/server/UpgradeOrder.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 14, 5, 40
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/AppTest.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 5, 13, 49
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/AttackAdjacentRuleCheckerTest.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/AttackInputRuleCheckerTest.java", "Java", 69, 0, 0, 0, 0, 0, 0, 0, 1, 8, 78
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/AttackOrderTest.java", "Java", 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/BasicUnitTest.java", "Java", 52, 0, 0, 0, 0, 0, 0, 0, 7, 18, 77
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/BattleTest.java", "Java", 108, 0, 0, 0, 0, 0, 0, 0, 3, 18, 129
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/CombatTest.java", "Java", 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/ConnTest.java", "Java", 91, 0, 0, 0, 0, 0, 0, 0, 9, 31, 131
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/GameMapTest.java", "Java", 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/GameTest.java", "Java", 464, 0, 0, 0, 0, 0, 0, 0, 78, 121, 663
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/MessageGeneratorTest.java", "Java", 142, 0, 0, 0, 0, 0, 0, 0, 5, 17, 164
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/MoveInputRuleCheckerTest.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 2, 5, 44
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/MoveOrderTest.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/MovePathRuleCheckerTest.java", "Java", 54, 0, 0, 0, 0, 0, 0, 0, 9, 16, 79
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/OrderTest.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 6, 5, 16
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/PlayerTest.java", "Java", 105, 0, 0, 0, 0, 0, 0, 0, 5, 20, 130
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/ServerTest.java", "Java", 88, 0, 0, 0, 0, 0, 0, 0, 10, 27, 125
"/Users/jwl/Documents/651 ECE/Risk_Game/server/src/test/java/edu/duke/ece651/team16/server/TerritoryTest.java", "Java", 195, 0, 0, 0, 0, 0, 0, 0, 16, 39, 250
"/Users/jwl/Documents/651 ECE/Risk_Game/settings.gradle", "Gradle", 0, 2, 0, 0, 0, 0, 0, 0, 8, 2, 12
"/Users/jwl/Documents/651 ECE/Risk_Game/shared/build.gradle", "Gradle", 0, 3, 0, 0, 0, 0, 0, 0, 8, 2, 13
"/Users/jwl/Documents/651 ECE/Risk_Game/shared/src/main/java/edu/duke/ece651/team16/shared/MyName.java", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/jwl/Documents/651 ECE/Risk_Game/shared/src/test/java/edu/duke/ece651/team16/shared/MyNameTest.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 4133, 105, 68, 41, 58, 5, 33, 227, 1157, 972, 6799
